BRANCH_NAME,FREEZE_DT,CUSTOMER_CLASS,year,month,day,Amount,Accounts,Main_Branch
أبو عريش,4/15/2023,RES,2023,4,15,9315.41,123,Abu Arish
أبو عريش,4/16/2023,RES,2023,4,16,10169.92,112,Abu Arish
أبو عريش,4/16/2023,TANKER,2023,4,16,73734.74,1,Abu Arish
أبو عريش,4/17/2023,COM,2023,4,17,33.75,1,Abu Arish
أبو عريش,4/17/2023,RES,2023,4,17,7491.25,92,Abu Arish
أبو عريش,4/18/2023,COM,2023,4,18,1585,2,Abu Arish
أبو عريش,4/18/2023,RES,2023,4,18,5215,72,Abu Arish
أبو عريش,4/19/2023,COM,2023,4,19,2447.03,3,Abu Arish
أبو عريش,4/19/2023,RES,2023,4,19,5185.47,61,Abu Arish
أبو عريش,4/20/2023,COM,2023,4,20,365.36,4,Abu Arish
أبو عريش,4/20/2023,RES,2023,4,20,3922.96,45,Abu Arish
أبو عريش,4/21/2023,RES,2023,4,21,479.67,17,Abu Arish
أبو عريش,4/22/2023,COM,2023,4,22,24.94,1,Abu Arish
أبو عريش,4/22/2023,RES,2023,4,22,2706.74,32,Abu Arish
أبو عريش,4/23/2023,COM,2023,4,23,279.45,1,Abu Arish
أبو عريش,4/23/2023,RES,2023,4,23,2151.46,26,Abu Arish
أبو عريش,4/24/2023,RES,2023,4,24,6704.74,39,Abu Arish
أبو عريش,4/25/2023,COM,2023,4,25,228.61,4,Abu Arish
أبو عريش,4/25/2023,RES,2023,4,25,33711.6,445,Abu Arish
أبو عريش,4/26/2023,COM,2023,4,26,887.74,3,Abu Arish
أبو عريش,4/26/2023,RES,2023,4,26,17469.11,182,Abu Arish
أبو عريش,4/27/2023,COM,2023,4,27,482.91,5,Abu Arish
أبو عريش,4/27/2023,RES,2023,4,27,95737.7,1118,Abu Arish
أبو عريش,4/28/2023,COM,2023,4,28,5.95,1,Abu Arish
أبو عريش,4/28/2023,RES,2023,4,28,28144.75,268,Abu Arish
